餐廳名稱,營業時間,營業備註,種類,地點,價格,星等,網址
聖代 玉翠園,08:00~18:00,"星期六 08:00~16:00, 星期日公休","甜點, 冰淇淋",札幌,,4.7,https://maps.app.goo.gl/d5hEgZqnrGcrxYxS8
六花亭 札幌本店,10:00~17:30,,甜點,札幌,,4.3,https://maps.app.goo.gl/AYMUQuJsomCVX3at8
北菓樓 札幌本館,10:00~18:00,,甜點,札幌,,4.3,https://maps.app.goo.gl/KLS7LRTmhfusc3Py9
円山牛乳販売店,11:00~18:00,星期二公休,甜點,札幌,,4.3,https://maps.app.goo.gl/m7ZzyEAVJTtaCZo86
甜品店 Patissier Labo,09:00~17:00,,甜點,洞爺,,4.4,https://maps.app.goo.gl/gtG76WsWdg8nFZ9W7
二世古高橋牧場 牛奶工房,10:00~17:30,,甜點,羊蹄山,,4.2,https://maps.app.goo.gl/h2YqquudRaaUcAbQ7
のぼりべつ酪農館,11:00~15:00,,甜點,登別,,4.1,https://maps.app.goo.gl/jti1Ty6XXqF3i8NXA
Petite Merveille Hondori,10:00~19:00,星期三公休,甜點,函館,,4.2,https://maps.app.goo.gl/NiyqjRmuPtByyWoY6
ESPRESSO D WORKS ココノススキノ店,08:00~00:00,星期日08:00~23:00,甜點,札幌,,4.3,https://maps.app.goo.gl/RpJutzVqKKi9g8NE9
薄野喫茶 パープルダリア,18:00~01:00,"星期六 15:00~01:00, 星期日 15:00~00:00",甜點,札幌,,4.1,https://maps.app.goo.gl/dwqUipqLnKjSsWk77?g_st=ic
札幌千秋庵 本店,10:00~18:00,,甜點,札幌,,4.2,https://maps.app.goo.gl/cLC8pmC8kWEyvXgC9?g_st=ic
d:matcha Kyoto Sapporo,10:30~18:00,,甜點,札幌,,4.9,https://maps.app.goo.gl/khtVtv8hrxDuMTmD8
SUGAR MAN,11:00~18:00,星期一公休,甜點,札幌,,4.6,https://maps.app.goo.gl/ANhiNAP5arw78K8e9
Sweet Lady Jane,10:00~20:00,星期日 10:00~19:00,甜點,札幌,,4.3,https://maps.app.goo.gl/vpd6PpkpsRijWk846
きのとや 大丸店,10:00~20:00,,甜點,札幌,,4,https://maps.app.goo.gl/uxbaG5uwdSC6Qbkh8
KINOTOYA BAKE ポールタウン店,10:00~20:00,,甜點,札幌,,4.6,https://maps.app.goo.gl/QCy15rsZ9Cfh5EWc8
